rank,trainable_params,trainable_pct,test_accuracy,test_f1_macro,best_val_loss
0,1538,0.0012359236294342236,0.6741258741258741,0.6729975405379411,0.5559427713004637
1,38402,0.030850379355551464,0.6951048951048951,0.6950565789679621,0.5237725717081151
4,148994,0.11958859673439994,0.7258741258741259,0.7254224270353302,0.4904479214423139
8,296450,0.2376614504501169,0.7426573426573426,0.7426447574334898,0.46281458101641965
16,591362,0.4729716597869155,0.7538461538461538,0.7538225581795702,0.43928293778862754
32,1181186,0.9402775462833863,0.7664335664335664,0.7654627987326879,0.41705622429579076
64,2360834,1.8618470401750804,0.765034965034965,0.7646994295743748,0.41382313509222485
128,4720130,3.6544845662592373,0.7692307692307693,0.7669974818545401,0.4136393976883149
